"psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,2,0,0
0.00012129093,0.0036441587,-0.00015998548,1,0.0020000001,2,0.0020000001,0
0.00024258186,0.0072883174,-0.00031997096,1,0.0040000002,2,0.0040000002,0
0.00036387277,0.010932476,-0.00047995642,1,0.0060000001,2,0.0060000001,0
0.00048516371,0.014576635,-0.00063994192,1,0.0080000004,2,0.0080000004,0
0.0006064546,0.018220792,-0.00079992734,1,0.0099999998,2,0.0099999998,0
0.00072774554,0.021864951,-0.00095991284,1,0.012,2,0.012,0
0.00084903648,0.025509111,-0.0011198983,1,0.014,2,0.014,0
0.00097032742,0.02915327,-0.0012798838,1,0.016000001,2,0.016000001,0
0.0010916183,0.032797426,-0.0014398692,1,0.017999999,2,0.017999999,0
0.0012129092,0.036441585,-0.0015998547,1,0.02,2,0.02,0
0.0013342001,0.040085744,-0.0017598402,1,0.022,2,0.022,0
0.0014554911,0.043729903,-0.0019198257,1,0.024,2,0.024,0
0.001576782,0.047374062,-0.0020798112,1,0.026000001,2,0.026000001,0
0.001698073,0.051018221,-0.0022397967,1,0.028000001,2,0.028000001,0
0.0018193638,0.054662377,-0.002399782,1,0.029999999,2,0.029999999,0
0.0019406548,0.05830654,-0.0025597677,1,0.032000002,2,0.032000002,0
0.0020619458,0.061950699,-0.0027197532,1,0.034000002,2,0.034000002,0
0.0021832365,0.065594851,-0.0028797384,1,0.035999998,2,0.035999998,0
0.0023045274,0.06923901,-0.0030397239,1,0.037999999,2,0.037999999,0
0.0024258184,0.072883169,-0.0031997094,1,0.039999999,2,0.039999999,0
0.0025471093,0.076527329,-0.0033596949,1,0.041999999,2,0.041999999,0
0.0026684003,0.080171488,-0.0035196804,1,0.044,2,0.044,0
0.0027896912,0.083815647,-0.0036796659,1,0.046,2,0.046,0
0.0029109822,0.087459806,-0.0038396514,1,0.048,2,0.048,0
0.0030322731,0.091103965,-0.0039996369,1,0.050000001,2,0.050000001,0
0.003153564,0.094748124,-0.0041596224,1,0.052000001,2,0.052000001,0
0.003274855,0.098392283,-0.0043196079,1,0.054000001,2,0.054000001,0
0.0033961459,0.10203644,-0.0044795934,1,0.056000002,2,0.056000002,0
0.0035174366,0.10568059,-0.0046395786,1,0.057999998,2,0.057999998,0
0.0036387276,0.10932475,-0.0047995641,1,0.059999999,2,0.059999999,0
0.0037600185,0.11296891,-0.0049595496,1,0.061999999,2,0.061999999,0
0.0038813097,0.11661308,-0.0051195354,1,0.064000003,2,0.064000003,0
0.0041257469,0.12132705,-0.0052615414,1,0.066,2,0.066,0
0.0044470289,0.12670862,-0.0053923288,1,0.068000004,2,0.068000004,0
0.0047683097,0.13209016,-0.0055231158,1,0.07,2,0.07,0
0.0050895905,0.13747171,-0.0056539027,1,0.071999997,2,0.071999997,0
0.0054108725,0.14285327,-0.0057846902,1,0.074000001,2,0.074000001,0
0.0057321533,0.14823482,-0.0059154772,1,0.075999998,2,0.075999998,0
