"N","Time","avg(X)","avg(Y)","avg(Z)","avg(psi)","avg(vx)","avg(vy)","max(X)","max(Y)","max(Z)","max(psi)","max(vx)","max(vy)","med(X)","med(Y)","med(Z)","med(psi)","med(vx)","med(vy)","min(X)","min(Y)","min(Z)","min(psi)","min(vx)","min(vy)","q1(X)","q1(Y)","q1(Z)","q1(psi)","q1(vx)","q1(vy)","q3(X)","q3(Y)","q3(Z)","q3(psi)","q3(vx)","q3(vy)","std(X)","std(Y)","std(Z)","std(psi)","std(vx)","std(vy)","vtkValidPointMask"
59,0,2,1.005629,0,1.0055938,0.96572178,0.0001078284,2,2,0,2,1.0056284,0.005802955,2,1.0290609,0,1.0288886,0.9988493,0,2,0,0,0,0,-0.0057964719,2,0.51315639,0,0.51499511,0.99559311,-0.0043257498,2,1.4601351,0,1.4583254,1.0032177,0.0042126826,0,0.56712589,0,0.56607337,0.18248961,0.0042025072,1
59,1,2,1.005629,0,1.00616,0.99061421,-0.0010966785,2,2,0,2,1.0884878,0.0068024916,2,1.0290609,0,1.0301692,1.0311942,0.0015163231,2,0,0,0,0,-0.045218164,2,0.51315639,0,0.49897654,1.0278543,-0.0045983601,2,1.4601351,0,1.4739625,1.0365849,0.0044447794,0,0.56712589,0,0.58329021,0.1933409,0.0092982008,1
59,2,2,1.005629,0,1.0063314,0.99932534,-0.001439154,2,2,0,2,1.1225643,0.0072053014,2,1.0290609,0,1.0306388,1.0463786,0,2,0,0,0,0,-0.043049394,2,0.51315639,0,0.49179833,1.0424407,-0.0047339383,2,1.4601351,0,1.4807157,1.0525792,0.0050073559,0,0.56712589,0,0.59065752,0.20342096,0.0093063762,1
59,3,2,1.005629,0,1.0064364,1.0037265,-0.0016004757,2,2,0,2,1.1259022,0.0074428701,2,1.0290609,0,1.0309421,1.0565069,-0.00010500783,2,0,0,0,0,-0.035042645,2,0.51315639,0,0.48687763,1.0524076,-0.0051581694,2,1.4601351,0,1.4853021,1.0632412,0.0050728924,0,0.56712589,0,0.5955151,0.21132714,0.0086055462,1
59,4,2,1.005629,0,1.0064993,1.0063211,-0.0016698066,2,2,0,2,1.1201544,0.0076236305,2,1.0290609,0,1.031166,1.0644974,-0.00072359808,2,0,0,0,0,-0.030414535,2,0.51315639,0,0.4829641,1.0599841,-0.005319892,2,1.4601351,0,1.4889119,1.0705186,0.0048680081,0,0.56712589,0,0.5992226,0.21766611,0.0081491063,1
59,5,2,1.005629,0,1.0065262,1.0080247,-0.001704116,2,2,0,2,1.1059965,0.0077567641,2,1.0290609,0,1.0313381,1.0704695,-0.0018338035,2,0,0,0,0,-0.031122976,2,0.51315639,0,0.4796133,1.06637,-0.0054645656,2,1.4601351,0,1.491961,1.0776748,0.0045855453,0,0.56712589,0,0.60227255,0.22302773,0.0079365372,1
59,6,2,1.005629,0,1.0065262,1.0092429,-0.0017285093,2,2,0,2,1.1032341,0.0078823739,2,1.0290609,0,1.0314747,1.0761722,-0.0014345552,2,0,0,0,0,-0.031266233,2,0.51315639,0,0.47662274,1.0722488,-0.0053916488,2,1.4601351,0,1.494646,1.083471,0.0046007287,0,0.56712589,0,0.6048975,0.22777568,0.0078801632,1
59,7,2,1.005629,0,1.0065079,1.0101763,-0.0017508285,2,2,0,2,1.1088096,0.0080065864,2,1.0290609,0,1.031587,1.081591,-0.0013040308,2,0,0,0,0,-0.031151109,2,0.51315639,0,0.4738856,1.0775738,-0.0055604161,2,1.4601351,0,1.4970757,1.0883272,0.004644144,0,0.56712589,0,0.60722412,0.2321175,0.0079207492,1
59,8,2,1.005629,0,1.0064781,1.0109325,-0.0017718901,2,2,0,2,1.1149924,0.0081388418,2,1.0290609,0,1.0316825,1.0862779,-0.0012848711,2,0,0,0,0,-0.03092789,2,0.51315639,0,0.47133944,1.0825509,-0.0056836012,2,1.4601351,0,1.4993157,1.0929132,0.0047104098,0,0.56712589,0,0.60932842,0.23617153,0.0080240133,1
59,9,2,1.005629,0,1.0064413,1.0115724,-0.0017903757,2,2,0,2,1.1197693,0.0082619956,2,1.0290609,0,1.0317661,1.0909386,-0.0012645005,2,0,0,0,0,-0.030668209,2,0.51315639,0,0.46894466,1.0870929,-0.0057648031,2,1.4601351,0,1.5014085,1.0977813,0.0047923716,0,0.56712589,0,0.6112594,0.24000695,0.0081688784,1
